Year,Population,Murder,Mrate_per100thous,Aggravated_assault,Aggravated_assault_rate,Robbery,Robbery_rate,Legacy_rape,Legacy_rape_rate
1960,179323175,9110,5.1,154320,86.1,107840,60.1,17190,9.6
1961,182992000,8740,4.8,156760,85.7,106670,58.3,17220,9.4
1962,185771000,8530,4.6,164570,88.6,110860,59.7,17550,9.4
1963,188483000,8640,4.6,174210,92.4,116470,61.8,17650,9.4
1964,191141000,9360,4.9,203050,106.2,130390,68.2,21420,11.2
1965,193526000,9960,5.1,215330,111.3,138690,71.7,23410,12.1
1966,195576000,11040,5.6,235330,120.3,157990,80.8,25820,13.2
1967,197457000,12240,6.2,257160,130.2,202910,102.8,27620,14
1968,199399000,13800,6.9,286700,143.8,262840,131.8,31670,15.9
1969,201385000,14760,7.3,311090,154.5,298850,148.4,37170,18.5
1970,203235298,16000,7.9,334970,164.8,349860,172.1,37990,18.7
1971,206212000,17780,8.6,368760,178.8,387700,188,42260,20.5
1972,208230000,18670,9,393090,188.8,376290,180.7,46850,22.5
1973,209851000,19640,9.4,420650,200.5,384220,183.1,51400,24.5
1974,211392000,20710,9.8,456210,215.8,442400,209.3,55400,26.2
1975,213124000,20510,9.6,492620,231.1,470500,220.8,56090,26.3
1976,214659000,18780,8.7,500530,233.2,427810,199.3,57080,26.6
1977,216332000,19120,8.8,534350,247,412610,190.7,63500,29.4
1978,218059000,19560,9,571460,262.1,426930,195.8,67610,31
1979,220099000,21460,9.8,629480,286,480700,218.4,76390,34.7
1980,225349264,23040,10.2,672650,298.5,565840,251.1,82990,36.8
1981,229465714,22520,9.8,663900,289.3,592910,258.4,82500,36
1982,231664458,21010,9.1,669480,289,553130,238.8,78770,34
1983,233791994,19308,8.3,653294,279.4,506567,216.7,78918,33.8
1984,235824902,18692,7.9,685349,290.6,485008,205.7,84233,35.7
1985,237923795,18976,8,723246,304,497874,209.3,87671,36.8
1986,240132887,20613,8.6,834322,347.4,542775,226,91459,38.1
1987,242288918,20096,8.3,855088,352.9,517704,213.7,91111,37.6
1988,244498982,20675,8.5,910092,372.2,542968,222.1,92486,37.8
1989,246819230,21500,8.7,951707,385.6,578326,234.3,94504,38.3
1990,249464396,23438,9.4,1054863,422.9,639271,256.3,102555,41.1
1991,252153092,24703,9.8,1092739,433.4,687732,272.7,106593,42.3
1992,255029699,23760,9.3,1126974,441.9,672478,263.7,109062,42.8
1993,257782608,24526,9.5,1135607,440.5,659870,256,106014,41.1
1994,260327021,23326,9,1113179,427.6,618949,237.8,102216,39.3
1995,262803276,21606,8.2,1099207,418.3,580509,220.9,97470,37.1
1996,265228572,19645,7.4,1037049,391,535594,201.9,96252,36.3
1997,267783607,18208,6.8,1023201,382.1,498534,186.2,96153,35.9
1998,270248003,16974,6.3,976583,361.4,447186,165.5,93144,34.5
1999,272690813,15522,5.7,911740,334.3,409371,150.1,89411,32.8
2000,281421906,15586,5.5,911706,324,408016,145,90178,32
2001,285317559,16037,5.6,909023,318.6,423557,148.5,90863,31.8
2002,287973924,16229,5.6,891407,309.5,420806,146.1,95235,33.1
2003,290788976,16528,5.7,859030,295.4,414235,142.5,93883,32.3
2004,293656842,16148,5.5,847381,288.6,401470,136.7,95089,32.4
2005,296507061,16740,5.6,862220,290.8,417438,140.8,94347,31.8
2006,299398484,17309,5.8,874096,292,449246,150,94472,31.6
2007,301621157,17128,5.7,866358,287.2,447324,148.3,92160,30.6
2008,304059724,16465,5.4,843683,277.5,443563,145.9,90750,29.8
2009,307006550,15399,5,812514,264.7,408742,133.1,89241,29.1
2010,309330219,14722,4.8,781844,252.8,369089,119.3,85593,27.7
2011,311587816,14661,4.7,752423,241.5,354772,113.9,84175,27
2012,313873685,14856,4.7,762009,242.8,355051,113.1,85141,27.1
2013,316497531,14319,4.5,726575,229.6,345095,109,82109,25.9
2014,318907401,14249,4.4,731089,229.2,322905,101.3,84864,26.6
2015,320896618,15883,4.9,764057,238.1,328109,102.2,91261,28.4
2016,323405935,17413,5.4,802982,248.3,332797,102.9,96970,30
2017,325147121,17294,5.3,810319,249.2,320596,98.6,99708,30.7
2018,327167434,16214,5,807410,246.8,282061,86.2,101151,30.9
